date,precip_mm
1995-03-01,117.6661
1995-04-01,213.2888
1995-05-01,105.2258
1995-06-01,82.277
1995-07-01,182.1447
1995-08-01,170.7886
1995-09-01,148.8612
1995-10-01,76.4884
1995-11-01,16.6699
1995-12-01,46.0758
1996-01-01,65.3483
1996-02-01,31.0989
1996-03-01,155.763
1996-04-01,147.0547
1996-05-01,175.9778
1996-06-01,168.4622
1996-07-01,214.9344
1996-08-01,201.9468
1996-09-01,121.0102
1996-10-01,54.8068
1996-11-01,46.9728
1996-12-01,15.9434
1997-01-01,58.8004
1997-02-01,14.916
1997-03-01,97.0149
1997-04-01,195.9118
1997-05-01,106.7784
1997-06-01,135.3815
1997-07-01,123.5721
1997-08-01,168.5391
1997-09-01,109.3236
1997-10-01,188.2805
1997-11-01,176.0702
1997-12-01,30.6617
1998-01-01,117.5573
1998-02-01,128.9703
1998-03-01,58.6141
1998-04-01,112.5686
1998-05-01,147.6767
1998-06-01,106.5557
1998-07-01,193.0914
1998-08-01,190.4644
1998-09-01,156.478
1998-10-01,170.5945
1998-11-01,20.2141
1998-12-01,9.7051
1999-01-01,29.8755
1999-02-01,16.4864
1999-03-01,142.7932
1999-04-01,41.7311
1999-05-01,95.3739
1999-06-01,147.7818
1999-07-01,193.6325
1999-08-01,133.2522
1999-09-01,136.9418
1999-10-01,162.8347
1999-11-01,17.552
1999-12-01,12.6841
2000-01-01,12.2287
2000-02-01,12.8719
2000-03-01,18.6409
2000-04-01,129.9325
2000-05-01,142.838
2000-06-01,93.7044
2000-07-01,167.6709
2000-08-01,174.6298
2000-09-01,145.7871
2000-10-01,142.0307
2000-11-01,56.3168
2000-12-01,30.3701
2001-01-01,18.2019
2001-02-01,35.692
2001-03-01,155.7282
2001-04-01,76.6914
2001-05-01,178.2081
2001-06-01,141.8548
2001-07-01,153.8898
2001-08-01,190.2211
2001-09-01,139.2685
2001-10-01,94.4015
2001-11-01,23.144
2001-12-01,18.9537
2002-01-01,48.5696
2002-02-01,27.5011
2002-03-01,130.2525
2002-04-01,91.177
2002-05-01,116.9151
2002-06-01,91.3538
2002-07-01,118.0747
2002-08-01,149.7069
2002-09-01,133.5739
2002-10-01,78.5372
2002-11-01,11.4712
2002-12-01,96.1061
2003-01-01,43.9669
2003-02-01,22.723
2003-03-01,88.9825
2003-04-01,186.492
2003-05-01,77.6541
2003-06-01,127.6056
2003-07-01,182.1853
2003-08-01,171.8406
2003-09-01,149.8442
2003-10-01,51.2309
2003-11-01,39.3628
2003-12-01,57.5692
2004-01-01,79.0074
2004-02-01,28.7543
2004-03-01,51.314
2004-04-01,150.5444
2004-05-01,58.5585
2004-06-01,91.6614
2004-07-01,165.6454
2004-08-01,137.1956
2004-09-01,149.8485
2004-10-01,84.6023
2004-11-01,52.1513
2004-12-01,30.5669
2005-01-01,51.6931
2005-02-01,24.7807
2005-03-01,106.2387
2005-04-01,161.0852
2005-05-01,191.3887
2005-06-01,82.3279
2005-07-01,167.4847
2005-08-01,137.6097
2005-09-01,142.0454
2005-10-01,68.3775
2005-11-01,42.3391
2005-12-01,13.1398
2006-01-01,14.8254
2006-02-01,45.9759
2006-03-01,106.3512
2006-04-01,211.3763
2006-05-01,105.458
2006-06-01,125.0843
2006-07-01,167.112
2006-08-01,208.4328
2006-09-01,141.2567
2006-10-01,129.622
2006-11-01,38.4485
2006-12-01,28.5235
2007-01-01,30.5863
2007-02-01,57.5514
2007-03-01,76.7495
2007-04-01,125.8536
2007-05-01,150.734
2007-06-01,188.3828
2007-07-01,167.9632
2007-08-01,210.9972
2007-09-01,220.2455
2007-10-01,78.2039
2007-11-01,39.8168
2007-12-01,8.4755
2008-01-01,17.9526
2008-02-01,18.9717
2008-03-01,24.8539
2008-04-01,71.6111
2008-05-01,143.9557
2008-06-01,148.0666
2008-07-01,202.4527
2008-08-01,181.7698
2008-09-01,156.007
2008-10-01,136.6747
2008-11-01,117.1933
2008-12-01,9.4565
2009-01-01,46.8815
2009-02-01,25.0644
2009-03-01,70.7578
2009-04-01,96.412
2009-05-01,108.2338
2009-06-01,74.4997
2009-07-01,125.9175
2009-08-01,149.4727
2009-09-01,129.8036
2009-10-01,110.8292
2009-11-01,21.0367
2009-12-01,137.4662
2010-01-01,41.7864
2010-02-01,99.9446
2010-03-01,139.8546
2010-04-01,182.9271
2010-05-01,178.5651
2010-06-01,93.9763
2010-07-01,190.4042
2010-08-01,191.137
2010-09-01,156.178
2010-10-01,46.3439
2010-11-01,12.6761
2010-12-01,27.2346
2011-01-01,21.473
2011-02-01,25.49
2011-03-01,44.2969
2011-04-01,73.1474
2011-05-01,244.769
2011-06-01,136.5789
2011-07-01,211.7473
2011-08-01,199.56
2011-09-01,148.7059
2011-10-01,80.4524
2011-11-01,71.5713
2011-12-01,9.463
2012-01-01,11.8231
2012-02-01,12.5579
2012-03-01,45.3488
2012-04-01,168.1002
2012-05-01,97.3389
